# Sentinel-HFT Demo Dataset
# 1000 transactions with burst at 450-550
timestamp_ns,data,opcode,meta
17296,0x0000000100000001,1,80
43345,0x0000000100000002,1,198
60062,0x0000000100000003,1,149
75759,0x0000000100000004,1,18
87711,0x0000000100000005,1,69
130829,0x0000000100000006,1,153
153860,0x0000000100000007,2,189
199573,0x0000000100000008,1,124
248191,0x0000000100000009,1,11
268654,0x000000010000000a,1,97
296864,0x000000010000000b,1,96
313562,0x000000010000000c,1,34
347088,0x000000010000000d,2,164
374423,0x000000010000000e,2,196
414531,0x000000010000000f,1,106
429695,0x0000000100000010,1,170
463395,0x0000000100000011,1,190
477953,0x0000000100000012,1,68
506918,0x0000000100000013,3,69
523537,0x0000000100000014,1,126
557446,0x0000000100000015,1,100
581176,0x0000000100000016,1,189
595855,0x0000000100000017,1,53
640860,0x0000000100000018,2,51
681154,0x0000000100000019,1,173
727654,0x000000010000001a,1,93
741319,0x000000010000001b,1,18
771992,0x000000010000001c,1,26
795818,0x000000010000001d,3,155
826440,0x000000010000001e,1,137
862368,0x000000010000001f,2,174
902439,0x0000000100000020,1,45
928601,0x0000000100000021,2,147
955820,0x0000000100000022,2,119
1004062,0x0000000100000023,1,66
1023127,0x0000000100000024,1,33
1036214,0x0000000100000025,2,49
1056698,0x0000000100000026,2,118
1105784,0x0000000100000027,1,107
1154836,0x0000000100000028,3,145
1181312,0x0000000100000029,3,12
1198819,0x000000010000002a,1,147
1226305,0x000000010000002b,2,97
1243615,0x000000010000002c,1,50
1283350,0x000000010000002d,1,194
1310611,0x000000010000002e,3,55
1353882,0x000000010000002f,3,170
1383440,0x0000000100000030,2,139
1433349,0x0000000100000031,1,105
1453936,0x0000000100000032,1,145
1463973,0x0000000100000033,1,135
1475249,0x0000000100000034,1,102
1505402,0x0000000100000035,1,71
1552584,0x0000000100000036,3,31
1594433,0x0000000100000037,2,146
1612674,0x0000000100000038,1,131
1658705,0x0000000100000039,1,145
1708458,0x000000010000003a,1,64
1753801,0x000000010000003b,2,186
1776983,0x000000010000003c,2,112
1811455,0x000000010000003d,1,142
1851043,0x000000010000003e,1,67
1865239,0x000000010000003f,1,160
1911540,0x0000000100000040,1,66
1922011,0x0000000100000041,1,171
1935869,0x0000000100000042,1,18
1967523,0x0000000100000043,1,70
1995773,0x0000000100000044,1,64
2041112,0x0000000100000045,1,156
2088874,0x0000000100000046,1,131
2125551,0x0000000100000047,1,34
2163800,0x0000000100000048,1,115
2204406,0x0000000100000049,2,23
2220855,0x000000010000004a,1,196
2253091,0x000000010000004b,2,37
2279386,0x000000010000004c,1,147
2318786,0x000000010000004d,1,56
2347040,0x000000010000004e,1,29
2386081,0x000000010000004f,2,150
2402497,0x0000000100000050,1,148
2413464,0x0000000100000051,3,70
2434363,0x0000000100000052,1,133
2458371,0x0000000100000053,2,25
2479160,0x0000000100000054,1,109
2506540,0x0000000100000055,3,126
2535234,0x0000000100000056,1,197
2581656,0x0000000100000057,1,134
2601800,0x0000000100000058,1,65
2615632,0x0000000100000059,1,148
2629626,0x000000010000005a,2,24
2642912,0x000000010000005b,1,138
2687719,0x000000010000005c,1,140
2702969,0x000000010000005d,2,27
2751965,0x000000010000005e,1,70
2788426,0x000000010000005f,1,155
2814561,0x0000000100000060,1,20
2829933,0x0000000100000061,1,159
2876975,0x0000000100000062,1,76
2900361,0x0000000100000063,1,90
2926003,0x0000000100000064,1,43
2955663,0x0000000100000065,1,28
2966273,0x0000000100000066,1,154
2982825,0x0000000100000067,1,64
3025978,0x0000000100000068,1,99
3040486,0x0000000100000069,2,104
3069162,0x000000010000006a,1,149
3098987,0x000000010000006b,1,177
3143651,0x000000010000006c,1,151
3173271,0x000000010000006d,3,36
3192071,0x000000010000006e,1,37
3238327,0x000000010000006f,1,82
3287965,0x0000000100000070,1,97
3311307,0x0000000100000071,1,77
3354429,0x0000000100000072,1,23
3370477,0x0000000100000073,1,80
3383366,0x0000000100000074,1,43
3410533,0x0000000100000075,1,123
3456687,0x0000000100000076,2,153
3467320,0x0000000100000077,1,186
3487088,0x0000000100000078,1,104
3535263,0x0000000100000079,1,120
3553615,0x000000010000007a,1,103
3566229,0x000000010000007b,2,63
3592582,0x000000010000007c,1,100
3639274,0x000000010000007d,2,114
3659402,0x000000010000007e,3,70
3680051,0x000000010000007f,3,55
3717071,0x0000000100000080,1,198
3748841,0x0000000100000081,2,115
3775104,0x0000000100000082,1,189
3792188,0x0000000100000083,1,19
3833035,0x0000000100000084,1,127
3865950,0x0000000100000085,1,68
3890559,0x0000000100000086,1,59
3926672,0x0000000100000087,1,27
3954964,0x0000000100000088,1,140
3991157,0x0000000100000089,1,147
4022859,0x000000010000008a,3,39
4049977,0x000000010000008b,1,77
4062484,0x000000010000008c,1,121
4095138,0x000000010000008d,2,90
4133737,0x000000010000008e,1,140
4151315,0x000000010000008f,1,157
4173772,0x0000000100000090,1,191
4212349,0x0000000100000091,1,147
4235261,0x0000000100000092,1,27
4266900,0x0000000100000093,1,179
4285067,0x0000000100000094,2,86
4328301,0x0000000100000095,1,114
4359677,0x0000000100000096,1,85
4406010,0x0000000100000097,1,117
4440857,0x0000000100000098,1,54
4488153,0x0000000100000099,1,150
4498179,0x000000010000009a,1,63
4536352,0x000000010000009b,2,165
4567470,0x000000010000009c,1,123
4591475,0x000000010000009d,1,198
4612595,0x000000010000009e,1,82
4656375,0x000000010000009f,1,168
4688341,0x00000001000000a0,1,70
4718684,0x00000001000000a1,1,60
4738340,0x00000001000000a2,1,72
4779478,0x00000001000000a3,1,28
4819324,0x00000001000000a4,1,171
4867051,0x00000001000000a5,1,188
4902215,0x00000001000000a6,1,72
4921886,0x00000001000000a7,1,11
4938871,0x00000001000000a8,2,66
4960397,0x00000001000000a9,2,188
5004341,0x00000001000000aa,1,152
5030672,0x00000001000000ab,3,41
5070586,0x00000001000000ac,1,128
5115394,0x00000001000000ad,3,162
5146188,0x00000001000000ae,3,123
5189269,0x00000001000000af,1,150
5228492,0x00000001000000b0,2,200
5269600,0x00000001000000b1,1,73
5297773,0x00000001000000b2,2,143
5339531,0x00000001000000b3,1,80
5378358,0x00000001000000b4,1,83
5403725,0x00000001000000b5,1,91
5449124,0x00000001000000b6,1,48
5474279,0x00000001000000b7,1,49
5498300,0x00000001000000b8,1,114
5529984,0x00000001000000b9,1,116
5544064,0x00000001000000ba,1,117
5579588,0x00000001000000bb,3,159
5590868,0x00000001000000bc,2,157
5625796,0x00000001000000bd,1,100
5655365,0x00000001000000be,2,117
5700637,0x00000001000000bf,2,149
5750171,0x00000001000000c0,2,134
5774551,0x00000001000000c1,1,134
5786453,0x00000001000000c2,1,181
5822950,0x00000001000000c3,2,129
5841314,0x00000001000000c4,3,146
5853081,0x00000001000000c5,3,161
