# Sample market data for Sentinel-HFT replay
# Simulates a burst of trading activity
#
# Columns:
#   timestamp_ns: Relative time in nanoseconds
#   data: 64-bit payload (e.g., price*1e8 or order ID)
#   opcode: Transaction type (0x0001=buy, 0x0002=sell, 0x0010=cancel)
#   meta: Metadata (e.g., quantity or flags)

timestamp_ns,data,opcode,meta
0,0x00000000499602D2,0x0001,100
100,0x00000000499602D3,0x0001,50
200,0x00000000499602D4,0x0002,75
300,0x00000000499602D5,0x0001,200
400,0x00000000499602D6,0x0002,150
500,0x00000000499602D7,0x0010,0
600,0x00000000499602D8,0x0001,300
700,0x00000000499602D9,0x0002,100
800,0x00000000499602DA,0x0001,50
900,0x00000000499602DB,0x0002,250
1000,0x00000000499602DC,0x0001,175
1100,0x00000000499602DD,0x0002,125
1200,0x00000000499602DE,0x0010,0
1300,0x00000000499602DF,0x0001,400
1400,0x00000000499602E0,0x0002,200
1500,0x00000000499602E1,0x0001,150
1600,0x00000000499602E2,0x0002,300
1700,0x00000000499602E3,0x0001,225
1800,0x00000000499602E4,0x0002,175
1900,0x00000000499602E5,0x0010,0
